field1|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|field12
|Berkeley 95|22 28 17|+59 08.4|0.12|||124|1800|8.55||
|Berkeley 97|22 39 24|+59 01.0|0.065|||49|1800|7.55||
|Bica 3|18 26 04|-13 03.0|0.1|||18|1614|7.2||
|Bica 5|11 41 35|-62 25.5|0.105|||91|1687|8.88||
|Bica 6|05 06 20|+39 09.9|0.14|57.10|1.20|103|1150|9.19|0.027|
|Biurakan 1|20 07 35|+35 42.8|0.205|-7.97|2.45|209|1580|7.035|0.001|
|Biurakan 2|20 09 16|+35 28.8|0.185|-22.00|9.47|140|1142|7.23|0.111|
|Blanco 1|00 03 32|-30 00.0|2.35|5.48|2.04|266|250|7.75||
|Bochum 13|17 17 19|-35 33.0|0.155|-2.50|1.50|165|1340|7.25||
|Bochum 4|07 31 37|-17 11.4|0.19|16.00|3.70|95|870|8.41|0.008|
|Bochum 5|07 31 05|-16 54.9|0.085|38.55|3.39|22|1775|7.4||
|Bochum 9|10 35 42|-60 07.8|0.17|||96|940|8.09||
|C1331-622|13 34 37|-62 25.0|0.12|||116|1078|9.25||
|CBJC 4|20 56 18|+44 23.4|0.115|||95|1293|7.7||
|Carraro 1|10 36 56|-58 45.0|0.085|-8.50||29|1789|9.1||
|Chamaleon I|11 03 36|-77 20.4|0.36|||75|380|6.0||
|Collinder 106|06 37 14|+06 04.2|0.51|28.72|4.99|304|1581|6.415||
|Collinder 107|06 38 30|+04 38.1|0.18|21.55|5.77|104|1447|7.165|0.016|
|Collinder 111|06 38 50|+06 54.9|0.115|32.00||86|1191|7.7||
|Collinder 132|07 13 26|-30 58.5|0.31|28.00|3.70|49|330|7.51||
|Collinder 135|07 17 56|-37 02.1|0.52|15.35|2.20|217|361|7.6||
|Collinder 140|07 24 07|-31 53.4|0.49|22.93|0.83|112|386|7.7||
|Collinder 185|08 23 20|-36 19.8|0.13|||94|1477|8.18||
|Collinder 196|08 45 02|-31 37.5|0.18|||111|1393|9.26||
|Collinder 205|09 00 32|-48 59.4|0.14|20.00|5.58|131|1458|7.03||
|Collinder 21|01 50 10|+27 06.9|0.36|||62|1400|9.393|0.099|
|Collinder 213|09 54 43|-50 55.5|0.16|||193|1464|8.87|0.052|
